id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
342,EO-7934,1442,8,,,2020-05-11T11:25:11.686,,,2020-05-11T11:25:11.686,2020-05-11T11:25:11.686
343,5347099523,1433,8,,,2020-05-11T11:25:51.820,,,2020-05-11T11:25:51.820,2020-05-11T11:25:51.820
344,LkkR177,1399,8,,,2020-05-11T11:50:46.843,,,2020-05-11T11:50:46.843,2020-05-11T11:50:46.843
345,Eo-7904,1395,8,,,2020-05-12T12:42:08.441,,,2020-05-12T12:42:08.441,2020-05-12T12:42:08.441
346,Rma-13069,1447,8,,,2020-05-12T14:37:21.058,,Storeeasy board,2020-05-12T14:37:21.058,2020-05-12T14:37:21.058
347,EO-54623302020,1448,8,,,2020-05-14T10:31:47.413,,,2020-05-14T10:31:47.413,2020-05-14T10:31:47.413
348,EO-7937,1416,8,,,2020-05-15T11:55:41.733,,,2020-05-15T11:55:41.733,2020-05-15T11:55:41.733
359,EO-7939,1449,10,,,2020-05-15T12:55:28.332,,,2020-05-15T12:55:28.332,2020-05-15T12:55:28.332
360,EO-7942,1385,10,,,2020-05-15T13:07:10.245,,,2020-05-15T13:07:10.245,2020-05-15T13:07:10.245
361,EO-7943,1450,10,,,2020-05-15T13:26:23.436,,,2020-05-15T13:26:23.436,2020-05-15T13:26:23.436
362,EO-7940,181,8,,,2020-05-15T13:55:02.278,,,2020-05-15T13:55:02.278,2020-05-15T13:55:02.278
363,EO-7938,61,10,,,2020-05-15T14:58:31.462,,,2020-05-15T14:58:31.462,2020-05-15T14:58:31.462
365,Ebay5-18-2020,1451,8,,,2020-05-19T08:52:13.448,,,2020-05-19T08:52:13.448,2020-05-19T08:52:13.448
371,EO-7944,1409,8,,,2020-05-20T09:42:33.316,,Metals ONly,2020-05-20T09:42:33.316,2020-05-20T09:42:33.316
372,EO-7947,1453,8,,,2020-05-20T09:43:04.883,,Damaged Corner,2020-05-20T09:43:04.883,2020-05-20T09:43:04.883
373,EO-7941,1445,8,,,2020-05-20T09:43:37.553,,,2020-05-20T09:43:37.553,2020-05-20T09:43:37.553
374,EO-7949,1454,10,,,2020-05-20T11:31:43.310,,,2020-05-20T11:31:43.310,2020-05-20T11:31:43.310
375,EO-10252,1455,8,,,2020-05-20T14:30:51.039,,,2020-05-20T14:30:51.039,2020-05-20T14:30:51.039
